# frequency  SPL  phase
1.000e+01 -2.162e+00 1.550e+02
1.151e+01 2.799e-01 1.512e+02
1.326e+01 2.737e+00 1.468e+02
1.526e+01 5.176e+00 1.418e+02
1.758e+01 7.633e+00 1.360e+02
2.024e+01 1.008e+01 1.294e+02
2.330e+01 1.252e+01 1.217e+02
2.683e+01 1.497e+01 1.129e+02
3.089e+01 1.741e+01 1.028e+02
3.556e+01 1.985e+01 9.111e+01
4.095e+01 2.229e+01 7.765e+01
4.715e+01 2.473e+01 6.217e+01
5.429e+01 2.716e+01 4.436e+01
6.251e+01 2.959e+01 2.385e+01
7.197e+01 3.201e+01 2.672e-01
8.286e+01 3.443e+01 -2.687e+01
9.541e+01 3.685e+01 -5.814e+01
1.098e+02 3.925e+01 -9.411e+01
1.265e+02 4.165e+01 -1.356e+02
1.456e+02 4.402e+01 1.767e+02
1.677e+02 4.638e+01 1.218e+02
1.931e+02 4.870e+01 5.852e+01
2.223e+02 5.100e+01 -1.429e+01
2.559e+02 5.325e+01 -9.822e+01
2.947e+02 5.543e+01 1.647e+02
3.393e+02 5.739e+01 5.241e+01
3.907e+02 5.892e+01 -7.644e+01
4.498e+02 5.988e+01 1.382e+02
5.180e+02 6.077e+01 -2.307e+01
5.964e+02 6.225e+01 1.528e+02
6.866e+02 6.370e+01 -6.032e+01
7.906e+02 6.529e+01 6.031e+01
9.103e+02 6.943e+01 1.385e+02
1.048e+03 7.175e+01 1.565e+02
1.207e+03 7.347e+01 1.334e+02
1.390e+03 7.458e+01 4.355e+01
1.600e+03 7.468e+01 -1.043e+02
1.842e+03 7.367e+01 2.961e+01
2.121e+03 7.169e+01 8.760e+01
2.442e+03 7.023e+01 5.795e+01
2.812e+03 6.999e+01 -8.247e+01
3.237e+03 6.996e+01 -4.718e+00
3.728e+03 7.100e+01 -8.694e+01
4.292e+03 6.721e+01 5.425e+01
4.942e+03 6.274e+01 -2.719e+01
5.690e+03 6.193e+01 4.437e+01
6.551e+03 6.005e+01 1.719e+02
7.543e+03 5.648e+01 4.758e+01
8.685e+03 4.755e+01 -1.066e+02
1.000e+04 5.245e+01 1.260e+02
