# frequency  SPL  phase
1.000e+01 -1.002e+00 1.580e+02
1.151e+01 1.440e+00 1.547e+02
1.326e+01 3.896e+00 1.509e+02
1.526e+01 6.333e+00 1.465e+02
1.758e+01 8.788e+00 1.414e+02
2.024e+01 1.123e+01 1.356e+02
2.330e+01 1.367e+01 1.289e+02
2.683e+01 1.611e+01 1.211e+02
3.089e+01 1.855e+01 1.122e+02
3.556e+01 2.098e+01 1.020e+02
4.095e+01 2.341e+01 9.026e+01
4.715e+01 2.583e+01 7.675e+01
5.429e+01 2.825e+01 6.123e+01
6.251e+01 3.067e+01 4.341e+01
7.197e+01 3.308e+01 2.297e+01
8.286e+01 3.549e+01 -4.662e-01
9.541e+01 3.790e+01 -2.737e+01
1.098e+02 4.033e+01 -5.822e+01
1.265e+02 4.278e+01 -9.368e+01
1.456e+02 4.528e+01 -1.344e+02
1.677e+02 4.785e+01 1.785e+02
1.931e+02 5.050e+01 1.241e+02
2.223e+02 5.322e+01 6.083e+01
2.559e+02 5.599e+01 -1.258e+01
2.947e+02 5.881e+01 -9.765e+01
3.393e+02 6.172e+01 1.638e+02
3.907e+02 6.475e+01 4.879e+01
4.498e+02 6.771e+01 -8.643e+01
5.180e+02 7.015e+01 1.149e+02
5.964e+02 7.133e+01 -6.632e+01
6.866e+02 7.199e+01 9.634e+01
7.906e+02 7.393e+01 -1.306e+02
9.103e+02 7.455e+01 -3.623e+01
1.048e+03 7.542e+01 2.773e+01
1.207e+03 7.586e+01 4.720e+01
1.390e+03 7.755e+01 1.902e+01
1.600e+03 7.897e+01 -7.724e+01
1.842e+03 8.039e+01 1.209e+02
2.121e+03 8.045e+01 -1.301e+02
2.442e+03 7.823e+01 -9.637e+01
2.812e+03 7.682e+01 -1.542e+02
3.237e+03 7.750e+01 2.780e+01
3.728e+03 7.725e+01 6.545e+01
4.292e+03 7.555e+01 -5.086e+01
4.942e+03 7.530e+01 1.675e+01
5.690e+03 7.460e+01 -1.194e+02
6.551e+03 7.277e+01 -1.315e+02
7.543e+03 7.042e+01 -7.577e+01
8.685e+03 6.842e+01 4.194e+01
1.000e+04 6.338e+01 1.781e+02
