# frequency  SPL  phase
1.000e+01 -1.390e+00 1.571e+02
1.151e+01 1.052e+00 1.536e+02
1.326e+01 3.510e+00 1.496e+02
1.526e+01 5.949e+00 1.450e+02
1.758e+01 8.406e+00 1.397e+02
2.024e+01 1.085e+01 1.336e+02
2.330e+01 1.329e+01 1.265e+02
2.683e+01 1.574e+01 1.185e+02
3.089e+01 1.818e+01 1.091e+02
3.556e+01 2.062e+01 9.845e+01
4.095e+01 2.306e+01 8.611e+01
4.715e+01 2.550e+01 7.192e+01
5.429e+01 2.793e+01 5.559e+01
6.251e+01 3.036e+01 3.681e+01
7.197e+01 3.279e+01 1.522e+01
8.286e+01 3.521e+01 -9.588e+00
9.541e+01 3.763e+01 -3.813e+01
1.098e+02 4.004e+01 -7.091e+01
1.265e+02 4.246e+01 -1.086e+02
1.456e+02 4.489e+01 -1.518e+02
1.677e+02 4.734e+01 1.584e+02
1.931e+02 4.983e+01 1.011e+02
2.223e+02 5.238e+01 3.498e+01
2.559e+02 5.499e+01 -4.147e+01
2.947e+02 5.767e+01 -1.302e+02
3.393e+02 6.035e+01 1.264e+02
3.907e+02 6.287e+01 6.407e+00
4.498e+02 6.509e+01 -1.320e+02
5.180e+02 6.688e+01 7.058e+01
5.964e+02 6.868e+01 -1.064e+02
6.866e+02 7.114e+01 5.091e+01
7.906e+02 7.399e+01 1.716e+02
9.103e+02 7.604e+01 -1.089e+02
1.048e+03 7.701e+01 -6.769e+01
1.207e+03 7.780e+01 -7.188e+01
1.390e+03 7.759e+01 -1.266e+02
1.600e+03 7.775e+01 1.216e+02
1.842e+03 7.763e+01 -5.451e+01
2.121e+03 7.862e+01 3.306e+01
2.442e+03 7.669e+01 4.199e+01
2.812e+03 7.746e+01 -5.731e+01
3.237e+03 7.617e+01 7.649e+01
3.728e+03 7.538e+01 7.113e+01
4.292e+03 7.331e+01 -9.349e+01
4.942e+03 7.251e+01 -8.165e+01
5.690e+03 6.939e+01 7.441e+01
6.551e+03 6.679e+01 -2.475e+01
7.543e+03 5.871e+01 -5.404e+01
8.685e+03 5.004e+01 -3.508e+01
1.000e+04 4.352e+01 3.300e+01
