# frequency  SPL  phase
1.000e+01 -1.129e+00 1.577e+02
1.151e+01 1.313e+00 1.543e+02
1.326e+01 3.770e+00 1.505e+02
1.526e+01 6.209e+00 1.460e+02
1.758e+01 8.665e+00 1.408e+02
2.024e+01 1.111e+01 1.349e+02
2.330e+01 1.355e+01 1.281e+02
2.683e+01 1.600e+01 1.203e+02
3.089e+01 1.844e+01 1.112e+02
3.556e+01 2.088e+01 1.009e+02
4.095e+01 2.333e+01 8.893e+01
4.715e+01 2.577e+01 7.521e+01
5.429e+01 2.821e+01 5.941e+01
6.251e+01 3.066e+01 4.125e+01
7.197e+01 3.311e+01 2.035e+01
8.286e+01 3.558e+01 -3.726e+00
9.541e+01 3.805e+01 -3.154e+01
1.098e+02 4.054e+01 -6.366e+01
1.265e+02 4.302e+01 -1.008e+02
1.456e+02 4.548e+01 -1.438e+02
1.677e+02 4.789e+01 1.669e+02
1.931e+02 5.024e+01 1.104e+02
2.223e+02 5.264e+01 4.621e+01
2.559e+02 5.521e+01 -2.769e+01
2.947e+02 5.793e+01 -1.147e+02
3.393e+02 6.032e+01 1.436e+02
3.907e+02 6.241e+01 2.960e+01
4.498e+02 6.517e+01 -1.015e+02
5.180e+02 6.739e+01 1.019e+02
5.964e+02 6.921e+01 -7.085e+01
6.866e+02 7.144e+01 8.393e+01
7.906e+02 7.309e+01 -1.441e+02
9.103e+02 7.461e+01 -5.252e+01
1.048e+03 7.643e+01 -3.933e-03
1.207e+03 7.745e+01 6.174e+00
1.390e+03 7.739e+01 -3.876e+01
1.600e+03 7.704e+01 -1.365e+02
1.842e+03 7.712e+01 5.846e+01
2.121e+03 7.694e+01 1.723e+02
2.442e+03 7.572e+01 -1.579e+02
2.812e+03 7.580e+01 1.264e+02
3.237e+03 7.457e+01 -6.511e+01
3.728e+03 7.382e+01 -3.890e+01
4.292e+03 7.276e+01 -1.600e+02
4.942e+03 7.188e+01 -1.087e+02
5.690e+03 7.035e+01 9.669e+01
6.551e+03 6.922e+01 5.943e+01
7.543e+03 6.597e+01 1.072e+02
8.685e+03 6.450e+01 -1.649e+02
1.000e+04 5.978e+01 -7.280e+01
