# frequency  SPL  phase
1.000e+01 4.530e+01 -4.925e+01
1.151e+01 4.881e+01 -6.005e+01
1.326e+01 5.249e+01 -7.294e+01
1.526e+01 5.632e+01 -8.805e+01
1.758e+01 6.038e+01 -1.061e+02
2.024e+01 6.468e+01 -1.280e+02
2.330e+01 6.920e+01 -1.557e+02
2.683e+01 7.364e+01 1.672e+02
3.089e+01 7.674e+01 1.193e+02
3.556e+01 7.752e+01 7.092e+01
4.095e+01 7.717e+01 3.052e+01
4.715e+01 7.675e+01 -4.190e+00
5.429e+01 7.651e+01 -3.686e+01
6.251e+01 7.643e+01 -6.960e+01
7.197e+01 7.645e+01 -1.037e+02
8.286e+01 7.652e+01 -1.400e+02
9.541e+01 7.662e+01 -1.795e+02
1.098e+02 7.673e+01 1.373e+02
1.265e+02 7.684e+01 8.937e+01
1.456e+02 7.695e+01 3.590e+01
1.677e+02 7.704e+01 -2.420e+01
1.931e+02 7.713e+01 -9.205e+01
2.223e+02 7.722e+01 -1.689e+02
2.559e+02 7.733e+01 1.036e+02
2.947e+02 7.746e+01 3.557e+00
3.393e+02 7.757e+01 -1.113e+02
3.907e+02 7.757e+01 1.167e+02
4.498e+02 7.737e+01 -3.432e+01
5.180e+02 7.703e+01 1.535e+02
5.964e+02 7.660e+01 -4.338e+01
6.866e+02 7.602e+01 9.138e+01
7.906e+02 7.559e+01 -1.656e+02
9.103e+02 7.554e+01 -1.060e+02
1.048e+03 7.437e+01 -9.127e+01
1.207e+03 7.419e+01 -1.292e+02
1.390e+03 7.143e+01 1.261e+02
1.600e+03 6.899e+01 -3.038e+01
1.842e+03 6.729e+01 8.783e+01
2.121e+03 6.523e+01 9.730e+01
2.442e+03 5.815e+01 8.995e+00
2.812e+03 5.294e+01 1.769e+02
3.237e+03 4.917e+01 1.677e+02
3.728e+03 4.786e+01 1.987e+01
4.292e+03 4.900e+01 6.744e+01
4.942e+03 4.199e+01 -3.308e+01
5.690e+03 2.123e+01 2.660e+01
6.551e+03 2.656e+01 1.655e+01
7.543e+03 3.279e+01 -1.571e+02
8.685e+03 2.270e+01 1.318e+02
1.000e+04 2.465e+01 -9.885e+01
