# frequency  SPL  phase
1.000e+01 4.882e+01 -4.984e+01
1.151e+01 5.211e+01 -5.944e+01
1.326e+01 5.557e+01 -7.095e+01
1.526e+01 5.920e+01 -8.455e+01
1.758e+01 6.307e+01 -1.010e+02
2.024e+01 6.719e+01 -1.211e+02
2.330e+01 7.155e+01 -1.470e+02
2.683e+01 7.584e+01 1.777e+02
3.089e+01 7.880e+01 1.319e+02
3.556e+01 7.946e+01 8.570e+01
4.095e+01 7.900e+01 4.774e+01
4.715e+01 7.849e+01 1.579e+01
5.429e+01 7.814e+01 -1.375e+01
6.251e+01 7.795e+01 -4.290e+01
7.197e+01 7.785e+01 -7.283e+01
8.286e+01 7.779e+01 -1.043e+02
9.541e+01 7.774e+01 -1.381e+02
1.098e+02 7.767e+01 -1.747e+02
1.265e+02 7.757e+01 1.453e+02
1.456e+02 7.745e+01 1.011e+02
1.677e+02 7.731e+01 5.179e+01
1.931e+02 7.717e+01 -3.669e+00
2.223e+02 7.699e+01 -6.665e+01
2.559e+02 7.672e+01 -1.388e+02
2.947e+02 7.624e+01 1.381e+02
3.393e+02 7.524e+01 4.242e+01
3.907e+02 7.333e+01 -6.639e+01
4.498e+02 6.985e+01 1.726e+02
5.180e+02 6.316e+01 4.887e+01
5.964e+02 6.085e+01 -5.482e+00
6.866e+02 7.089e+01 -1.647e+02
7.906e+02 7.596e+01 -1.764e+01
9.103e+02 7.899e+01 9.167e+01
1.048e+03 7.980e+01 1.613e+02
1.207e+03 7.926e+01 -1.677e+02
1.390e+03 7.627e+01 1.717e+02
1.600e+03 6.616e+01 1.041e+02
1.842e+03 7.039e+01 9.657e+01
2.121e+03 7.436e+01 -1.335e+02
2.442e+03 6.881e+01 -8.479e+01
2.812e+03 4.915e+01 -2.706e+01
3.237e+03 6.611e+01 -1.788e+02
3.728e+03 5.876e+01 -1.299e+02
4.292e+03 6.468e+01 -7.355e+01
4.942e+03 4.436e+01 3.559e+01
5.690e+03 5.010e+01 6.802e+01
6.551e+03 4.978e+01 6.927e+01
7.543e+03 4.862e+01 -1.812e+01
8.685e+03 3.186e+01 1.113e+02
1.000e+04 3.848e+01 7.503e+01
