# frequency  SPL  phase
1.000e+01 5.140e+01 1.260e+02
1.151e+01 5.312e+01 1.199e+02
1.326e+01 5.463e+01 1.141e+02
1.526e+01 5.587e+01 1.096e+02
1.758e+01 5.695e+01 1.089e+02
2.024e+01 5.855e+01 1.154e+02
2.330e+01 6.240e+01 1.244e+02
2.683e+01 6.828e+01 1.171e+02
3.089e+01 7.318e+01 8.881e+01
3.556e+01 7.545e+01 5.425e+01
4.095e+01 7.622e+01 2.497e+01
4.715e+01 7.666e+01 1.172e-01
5.429e+01 7.706e+01 -2.318e+01
6.251e+01 7.749e+01 -4.661e+01
7.197e+01 7.792e+01 -7.112e+01
8.286e+01 7.836e+01 -9.745e+01
9.541e+01 7.880e+01 -1.263e+02
1.098e+02 7.925e+01 -1.583e+02
1.265e+02 7.969e+01 1.658e+02
1.456e+02 8.009e+01 1.252e+02
1.677e+02 8.042e+01 7.907e+01
1.931e+02 8.066e+01 2.691e+01
2.223e+02 8.085e+01 -3.207e+01
2.559e+02 8.103e+01 -9.931e+01
2.947e+02 8.114e+01 -1.770e+02
3.393e+02 8.095e+01 9.390e+01
3.907e+02 8.047e+01 -6.231e+00
4.498e+02 8.019e+01 -1.203e+02
5.180e+02 7.967e+01 1.048e+02
5.964e+02 7.809e+01 -5.239e+01
6.866e+02 7.403e+01 1.253e+02
7.906e+02 5.830e+01 -8.196e+01
9.103e+02 7.388e+01 -1.333e+02
1.048e+03 8.183e+01 -5.555e+01
1.207e+03 8.597e+01 -1.911e+01
1.390e+03 8.758e+01 -2.873e+01
1.600e+03 8.698e+01 -9.034e+01
1.842e+03 8.450e+01 1.482e+02
2.121e+03 7.727e+01 -4.357e+01
2.442e+03 6.621e+01 1.513e+02
2.812e+03 7.429e+01 -1.714e+02
3.237e+03 7.274e+01 7.094e+01
3.728e+03 5.937e+01 -1.741e+02
4.292e+03 6.436e+01 -5.038e+01
4.942e+03 6.846e+01 1.085e+02
5.690e+03 5.786e+01 -1.392e+02
6.551e+03 6.723e+01 -5.744e+00
7.543e+03 6.119e+01 -1.391e+01
8.685e+03 4.856e+01 -7.259e+00
1.000e+04 5.327e+01 -2.360e+01
