# frequency  SPL  phase
1.000e+01 -1.002e+01 1.584e+02
1.098e+01 -8.400e+00 1.563e+02
1.205e+01 -6.786e+00 1.540e+02
1.323e+01 -5.164e+00 1.515e+02
1.453e+01 -3.538e+00 1.487e+02
1.595e+01 -1.920e+00 1.456e+02
1.751e+01 -3.016e-01 1.422e+02
1.922e+01 1.314e+00 1.386e+02
2.110e+01 2.932e+00 1.345e+02
2.317e+01 4.553e+00 1.301e+02
2.543e+01 6.165e+00 1.252e+02
2.792e+01 7.782e+00 1.198e+02
3.065e+01 9.395e+00 1.140e+02
3.365e+01 1.101e+01 1.075e+02
3.695e+01 1.263e+01 1.005e+02
4.056e+01 1.423e+01 9.274e+01
4.453e+01 1.584e+01 8.425e+01
4.889e+01 1.745e+01 7.494e+01
5.367e+01 1.906e+01 6.476e+01
5.892e+01 2.066e+01 5.360e+01
6.469e+01 2.227e+01 4.135e+01
7.102e+01 2.388e+01 2.796e+01
7.796e+01 2.549e+01 1.331e+01
8.559e+01 2.710e+01 -2.759e+00
9.397e+01 2.873e+01 -2.037e+01
1.032e+02 3.036e+01 -3.964e+01
1.132e+02 3.201e+01 -6.078e+01
1.243e+02 3.369e+01 -8.401e+01
1.365e+02 3.540e+01 -1.095e+02
1.499e+02 3.714e+01 -1.377e+02
1.645e+02 3.893e+01 -1.687e+02
1.806e+02 4.075e+01 1.570e+02
1.983e+02 4.260e+01 1.190e+02
2.177e+02 4.448e+01 7.702e+01
2.390e+02 4.636e+01 3.054e+01
2.624e+02 4.824e+01 -2.074e+01
2.880e+02 5.012e+01 -7.722e+01
3.162e+02 5.202e+01 -1.394e+02
3.472e+02 5.394e+01 1.520e+02
3.811e+02 5.589e+01 7.602e+01
4.184e+02 5.778e+01 -8.258e+00
4.594e+02 5.954e+01 -1.017e+02
5.043e+02 6.099e+01 1.552e+02
5.537e+02 6.198e+01 4.329e+01
6.078e+02 6.274e+01 -7.525e+01
6.673e+02 6.408e+01 1.577e+02
7.326e+02 6.602e+01 1.385e+01
8.043e+02 6.734e+01 -1.493e+02
8.830e+02 6.770e+01 3.472e+01
9.694e+02 6.805e+01 -1.540e+02
1.064e+03 6.831e+01 -2.878e-01
1.168e+03 6.847e+01 1.362e+02
1.283e+03 6.886e+01 -1.081e+02
1.408e+03 6.919e+01 -1.635e+01
1.546e+03 6.951e+01 5.073e+01
1.697e+03 7.015e+01 8.895e+01
1.863e+03 7.046e+01 9.224e+01
2.046e+03 7.035e+01 6.606e+01
2.246e+03 7.049e+01 -1.365e+00
2.465e+03 7.011e+01 -1.073e+02
2.707e+03 6.972e+01 1.044e+02
2.971e+03 6.917e+01 -9.417e+01
3.262e+03 6.958e+01 1.598e+01
3.581e+03 6.973e+01 6.580e+01
3.932e+03 6.938e+01 4.516e+01
4.317e+03 6.859e+01 -4.889e+01
4.739e+03 6.814e+01 1.487e+02
5.203e+03 6.877e+01 -1.055e+02
5.712e+03 6.824e+01 -9.789e+01
6.270e+03 6.764e+01 1.718e+02
6.884e+03 6.583e+01 -4.406e+01
7.558e+03 6.447e+01 -2.067e+01
8.297e+03 6.273e+01 -1.339e+02
9.109e+03 6.006e+01 -5.871e+01
1.000e+04 5.697e+01 -1.123e+02
