# frequency  SPL  phase
1.000e+01 -9.588e+00 1.594e+02
1.098e+01 -7.964e+00 1.574e+02
1.205e+01 -6.349e+00 1.552e+02
1.323e+01 -4.726e+00 1.528e+02
1.453e+01 -3.099e+00 1.501e+02
1.595e+01 -1.479e+00 1.472e+02
1.751e+01 1.412e-01 1.440e+02
1.922e+01 1.759e+00 1.405e+02
2.110e+01 3.380e+00 1.366e+02
2.317e+01 5.005e+00 1.324e+02
2.543e+01 6.621e+00 1.278e+02
2.792e+01 8.243e+00 1.227e+02
3.065e+01 9.863e+00 1.171e+02
3.365e+01 1.148e+01 1.109e+02
3.695e+01 1.311e+01 1.042e+02
4.056e+01 1.473e+01 9.685e+01
4.453e+01 1.635e+01 8.877e+01
4.889e+01 1.798e+01 7.992e+01
5.367e+01 1.961e+01 7.022e+01
5.892e+01 2.124e+01 5.960e+01
6.469e+01 2.288e+01 4.795e+01
7.102e+01 2.453e+01 3.520e+01
7.796e+01 2.620e+01 2.124e+01
8.559e+01 2.788e+01 5.919e+00
9.397e+01 2.959e+01 -1.091e+01
1.032e+02 3.133e+01 -2.938e+01
1.132e+02 3.311e+01 -4.973e+01
1.243e+02 3.495e+01 -7.224e+01
1.365e+02 3.683e+01 -9.714e+01
1.499e+02 3.878e+01 -1.248e+02
1.645e+02 4.078e+01 -1.557e+02
1.806e+02 4.282e+01 1.699e+02
1.983e+02 4.487e+01 1.315e+02
2.177e+02 4.690e+01 8.884e+01
2.390e+02 4.889e+01 4.152e+01
2.624e+02 5.080e+01 -1.067e+01
2.880e+02 5.262e+01 -6.792e+01
3.162e+02 5.433e+01 -1.303e+02
3.472e+02 5.599e+01 1.621e+02
3.811e+02 5.774e+01 8.917e+01
4.184e+02 5.977e+01 9.283e+00
4.594e+02 6.207e+01 -8.025e+01
5.043e+02 6.434e+01 1.786e+02
5.537e+02 6.624e+01 6.570e+01
6.078e+02 6.762e+01 -5.718e+01
6.673e+02 6.880e+01 1.713e+02
7.326e+02 7.027e+01 2.916e+01
8.043e+02 7.211e+01 -1.286e+02
8.830e+02 7.377e+01 5.500e+01
9.694e+02 7.489e+01 -1.391e+02
1.064e+03 7.563e+01 9.476e+00
1.168e+03 7.601e+01 1.388e+02
1.283e+03 7.595e+01 -1.113e+02
1.408e+03 7.598e+01 -2.161e+01
1.546e+03 7.619e+01 4.147e+01
1.697e+03 7.621e+01 7.602e+01
1.863e+03 7.606e+01 7.893e+01
2.046e+03 7.539e+01 4.942e+01
2.246e+03 7.469e+01 -1.506e+01
2.465e+03 7.439e+01 -1.140e+02
2.707e+03 7.425e+01 9.305e+01
2.971e+03 7.284e+01 -1.010e+02
3.262e+03 7.413e+01 1.172e+01
3.581e+03 7.280e+01 6.042e+01
3.932e+03 7.455e+01 4.080e+01
4.317e+03 7.440e+01 -4.828e+01
4.739e+03 7.494e+01 1.393e+02
5.203e+03 7.427e+01 -1.188e+02
5.712e+03 7.407e+01 -1.131e+02
6.270e+03 7.347e+01 1.504e+02
6.884e+03 7.299e+01 -5.371e+01
7.558e+03 7.231e+01 -2.382e+01
8.297e+03 7.238e+01 -1.447e+02
9.109e+03 7.199e+01 -4.954e+01
1.000e+04 7.101e+01 -1.277e+02
