# frequency  SPL  phase
1.000e+01 -1.058e+01 1.570e+02
1.098e+01 -8.958e+00 1.548e+02
1.205e+01 -7.343e+00 1.523e+02
1.323e+01 -5.721e+00 1.496e+02
1.453e+01 -4.094e+00 1.466e+02
1.595e+01 -2.475e+00 1.434e+02
1.751e+01 -8.553e-01 1.398e+02
1.922e+01 7.620e-01 1.359e+02
2.110e+01 2.381e+00 1.316e+02
2.317e+01 4.005e+00 1.268e+02
2.543e+01 5.620e+00 1.216e+02
2.792e+01 7.240e+00 1.159e+02
3.065e+01 8.857e+00 1.097e+02
3.365e+01 1.048e+01 1.028e+02
3.695e+01 1.210e+01 9.526e+01
4.056e+01 1.371e+01 8.700e+01
4.453e+01 1.533e+01 7.792e+01
4.889e+01 1.695e+01 6.796e+01
5.367e+01 1.856e+01 5.705e+01
5.892e+01 2.018e+01 4.507e+01
6.469e+01 2.180e+01 3.191e+01
7.102e+01 2.342e+01 1.748e+01
7.796e+01 2.504e+01 1.660e+00
8.559e+01 2.667e+01 -1.573e+01
9.397e+01 2.830e+01 -3.484e+01
1.032e+02 2.994e+01 -5.583e+01
1.132e+02 3.158e+01 -7.890e+01
1.243e+02 3.322e+01 -1.043e+02
1.365e+02 3.487e+01 -1.323e+02
1.499e+02 3.651e+01 -1.630e+02
1.645e+02 3.814e+01 1.632e+02
1.806e+02 3.975e+01 1.260e+02
1.983e+02 4.134e+01 8.525e+01
2.177e+02 4.290e+01 4.068e+01
2.390e+02 4.445e+01 -7.993e+00
2.624e+02 4.601e+01 -6.108e+01
2.880e+02 4.764e+01 -1.191e+02
3.162e+02 4.939e+01 1.768e+02
3.472e+02 5.120e+01 1.056e+02
3.811e+02 5.293e+01 2.619e+01
4.184e+02 5.442e+01 -6.120e+01
4.594e+02 5.572e+01 -1.554e+02
5.043e+02 5.724e+01 1.031e+02
5.537e+02 5.916e+01 -1.036e+01
6.078e+02 6.077e+01 -1.387e+02
6.673e+02 6.162e+01 8.295e+01
7.326e+02 6.302e+01 -6.400e+01
8.043e+02 6.474e+01 1.273e+02
8.830e+02 6.507e+01 -5.582e+01
9.694e+02 6.635e+01 1.086e+02
1.064e+03 6.684e+01 -1.134e+02
1.168e+03 6.732e+01 1.230e+01
1.283e+03 6.760e+01 1.093e+02
1.408e+03 6.785e+01 -1.734e+02
1.546e+03 6.779e+01 -1.248e+02
1.697e+03 6.774e+01 -1.038e+02
1.863e+03 6.734e+01 -1.161e+02
2.046e+03 6.692e+01 -1.644e+02
2.246e+03 6.655e+01 1.109e+02
2.465e+03 6.658e+01 -1.613e+01
2.707e+03 6.621e+01 1.698e+02
2.971e+03 6.556e+01 -5.723e+01
3.262e+03 6.463e+01 1.949e+01
3.581e+03 6.482e+01 3.274e+01
3.932e+03 6.410e+01 -1.502e+01
4.317e+03 6.432e+01 -1.532e+02
4.739e+03 6.273e+01 2.423e+00
5.203e+03 6.204e+01 5.640e+01
5.712e+03 5.997e+01 7.356e+00
6.270e+03 5.758e+01 -1.260e+02
6.884e+03 5.617e+01 -3.869e+01
7.558e+03 5.277e+01 -7.955e+01
8.297e+03 4.651e+01 1.144e+02
9.109e+03 4.389e+01 1.140e+02
1.000e+04 4.845e+01 -4.271e+01
