# frequency  SPL  phase
1.000e+01 4.197e+01 1.157e+02
1.098e+01 4.345e+01 1.092e+02
1.205e+01 4.489e+01 1.020e+02
1.323e+01 4.629e+01 9.398e+01
1.453e+01 4.764e+01 8.505e+01
1.595e+01 4.889e+01 7.514e+01
1.751e+01 5.004e+01 6.405e+01
1.922e+01 5.103e+01 5.162e+01
2.110e+01 5.180e+01 3.756e+01
2.317e+01 5.224e+01 2.155e+01
2.543e+01 5.211e+01 3.323e+00
2.792e+01 5.095e+01 -1.769e+01
3.065e+01 4.746e+01 -4.153e+01
3.365e+01 3.241e+01 -6.272e+01
3.695e+01 4.651e+01 7.956e+01
4.056e+01 5.344e+01 5.179e+01
4.453e+01 5.680e+01 2.507e+01
4.889e+01 5.873e+01 2.234e-01
5.367e+01 5.992e+01 -2.302e+01
5.892e+01 6.071e+01 -4.526e+01
6.469e+01 6.125e+01 -6.702e+01
7.102e+01 6.164e+01 -8.871e+01
7.796e+01 6.193e+01 -1.107e+02
8.559e+01 6.215e+01 -1.333e+02
9.397e+01 6.232e+01 -1.569e+02
1.032e+02 6.246e+01 1.783e+02
1.132e+02 6.257e+01 1.521e+02
1.243e+02 6.266e+01 1.241e+02
1.365e+02 6.274e+01 9.402e+01
1.499e+02 6.280e+01 6.164e+01
1.645e+02 6.284e+01 2.665e+01
1.806e+02 6.286e+01 -1.128e+01
1.983e+02 6.286e+01 -5.244e+01
2.177e+02 6.284e+01 -9.716e+01
2.390e+02 6.278e+01 -1.458e+02
2.624e+02 6.271e+01 1.613e+02
2.880e+02 6.262e+01 1.039e+02
3.162e+02 6.255e+01 4.138e+01
3.472e+02 6.257e+01 -2.691e+01
3.811e+02 6.268e+01 -1.024e+02
4.184e+02 6.275e+01 1.735e+02
4.594e+02 6.251e+01 8.069e+01
5.043e+02 6.192e+01 -1.887e+01
5.537e+02 6.157e+01 -1.247e+02
6.078e+02 6.175e+01 1.171e+02
6.673e+02 6.156e+01 -1.642e+01
7.326e+02 6.068e+01 -1.603e+02
8.043e+02 6.023e+01 4.700e+01
8.830e+02 6.029e+01 -1.264e+02
9.694e+02 5.912e+01 4.395e+01
1.064e+03 5.885e+01 -1.583e+02
1.168e+03 5.811e+01 -2.803e+01
1.283e+03 5.732e+01 8.709e+01
1.408e+03 5.643e+01 1.722e+02
1.546e+03 5.554e+01 -1.252e+02
1.697e+03 5.415e+01 -9.399e+01
1.863e+03 5.234e+01 -9.449e+01
2.046e+03 5.005e+01 -1.310e+02
2.246e+03 4.716e+01 1.580e+02
2.465e+03 4.285e+01 4.229e+01
2.707e+03 3.686e+01 -9.402e+01
2.971e+03 3.285e+01 1.155e+02
3.262e+03 3.612e+01 -1.150e+02
3.581e+03 3.846e+01 -8.362e+01
3.932e+03 3.856e+01 -1.320e+02
4.317e+03 3.411e+01 1.551e+02
4.739e+03 2.905e+01 -6.656e+01
5.203e+03 2.377e+01 5.786e+01
5.712e+03 2.013e+01 1.017e+02
6.270e+03 2.382e+01 -1.055e+01
6.884e+03 1.678e+01 1.312e+02
7.558e+03 6.044e+00 1.224e+02
8.297e+03 7.771e+00 6.541e+01
9.109e+03 1.111e+01 1.291e+02
1.000e+04 8.457e+00 2.857e+01
