# frequency  SPL  phase
1.000e+01 4.253e+01 1.171e+02
1.098e+01 4.401e+01 1.107e+02
1.205e+01 4.545e+01 1.036e+02
1.323e+01 4.685e+01 9.579e+01
1.453e+01 4.820e+01 8.704e+01
1.595e+01 4.945e+01 7.732e+01
1.751e+01 5.060e+01 6.644e+01
1.922e+01 5.159e+01 5.425e+01
2.110e+01 5.237e+01 4.045e+01
2.317e+01 5.280e+01 2.472e+01
2.543e+01 5.267e+01 6.797e+00
2.792e+01 5.151e+01 -1.388e+01
3.065e+01 4.802e+01 -3.735e+01
3.365e+01 3.297e+01 -5.813e+01
3.695e+01 4.707e+01 8.460e+01
4.056e+01 5.400e+01 5.732e+01
4.453e+01 5.736e+01 3.114e+01
4.889e+01 5.928e+01 6.878e+00
5.367e+01 6.047e+01 -1.572e+01
5.892e+01 6.126e+01 -3.724e+01
6.469e+01 6.180e+01 -5.822e+01
7.102e+01 6.218e+01 -7.904e+01
7.796e+01 6.246e+01 -1.001e+02
8.559e+01 6.267e+01 -1.216e+02
9.397e+01 6.283e+01 -1.440e+02
1.032e+02 6.295e+01 -1.674e+02
1.132e+02 6.305e+01 1.679e+02
1.243e+02 6.313e+01 1.415e+02
1.365e+02 6.320e+01 1.135e+02
1.499e+02 6.328e+01 8.326e+01
1.645e+02 6.335e+01 5.069e+01
1.806e+02 6.343e+01 1.537e+01
1.983e+02 6.352e+01 -2.303e+01
2.177e+02 6.361e+01 -6.492e+01
2.390e+02 6.370e+01 -1.107e+02
2.624e+02 6.378e+01 -1.608e+02
2.880e+02 6.384e+01 1.443e+02
3.162e+02 6.384e+01 8.411e+01
3.472e+02 6.377e+01 1.827e+01
3.811e+02 6.358e+01 -5.337e+01
4.184e+02 6.333e+01 -1.308e+02
4.594e+02 6.314e+01 1.455e+02
5.043e+02 6.316e+01 5.414e+01
5.537e+02 6.346e+01 -4.694e+01
6.078e+02 6.386e+01 -1.606e+02
6.673e+02 6.391e+01 7.224e+01
7.326e+02 6.342e+01 -6.691e+01
8.043e+02 6.246e+01 1.441e+02
8.830e+02 6.194e+01 -1.462e+01
9.694e+02 6.217e+01 1.673e+02
1.064e+03 6.182e+01 -3.434e+01
1.168e+03 6.027e+01 1.077e+02
1.283e+03 5.912e+01 -1.245e+02
1.408e+03 5.825e+01 -2.542e+01
1.546e+03 5.638e+01 5.013e+01
1.697e+03 5.451e+01 9.744e+01
1.863e+03 5.185e+01 1.206e+02
2.046e+03 4.945e+01 9.959e+01
2.246e+03 4.449e+01 6.089e+01
2.465e+03 3.738e+01 -3.971e+01
2.707e+03 2.631e+01 -1.471e+02
2.971e+03 2.156e+01 1.505e+02
3.262e+03 2.475e+01 -1.714e+01
3.581e+03 3.075e+01 9.306e+01
3.932e+03 3.599e+01 1.372e+02
4.317e+03 3.629e+01 6.920e+01
4.739e+03 3.429e+01 -7.887e+01
5.203e+03 2.454e+01 6.551e+01
5.712e+03 2.565e+01 -1.242e+02
6.270e+03 2.922e+01 -1.732e+02
6.884e+03 2.431e+01 2.346e+01
7.558e+03 1.334e+01 1.745e+02
8.297e+03 1.619e+01 -8.283e+01
9.109e+03 2.516e+01 7.723e+01
1.000e+04 1.214e+01 1.417e+02
