# frequency  SPL  phase
1.000e+01 4.944e+01 -6.020e+01
1.098e+01 5.109e+01 -6.632e+01
1.205e+01 5.273e+01 -7.306e+01
1.323e+01 5.439e+01 -8.059e+01
1.453e+01 5.606e+01 -8.899e+01
1.595e+01 5.771e+01 -9.833e+01
1.751e+01 5.937e+01 -1.088e+02
1.922e+01 6.102e+01 -1.205e+02
2.110e+01 6.265e+01 -1.338e+02
2.317e+01 6.426e+01 -1.491e+02
2.543e+01 6.578e+01 -1.664e+02
2.792e+01 6.716e+01 1.734e+02
3.065e+01 6.825e+01 1.502e+02
3.365e+01 6.884e+01 1.242e+02
3.695e+01 6.875e+01 9.654e+01
4.056e+01 6.796e+01 6.944e+01
4.453e+01 6.665e+01 4.414e+01
4.889e+01 6.505e+01 2.100e+01
5.367e+01 6.331e+01 -3.103e-01
5.892e+01 6.152e+01 -2.039e+01
6.469e+01 5.972e+01 -3.977e+01
7.102e+01 5.793e+01 -5.883e+01
7.796e+01 5.617e+01 -7.792e+01
8.559e+01 5.442e+01 -9.741e+01
9.397e+01 5.270e+01 -1.175e+02
1.032e+02 5.100e+01 -1.385e+02
1.132e+02 4.931e+01 -1.606e+02
1.243e+02 4.763e+01 1.759e+02
1.365e+02 4.595e+01 1.508e+02
1.499e+02 4.426e+01 1.239e+02
1.645e+02 4.257e+01 9.500e+01
1.806e+02 4.085e+01 6.389e+01
1.983e+02 3.912e+01 3.042e+01
2.177e+02 3.740e+01 -5.609e+00
2.390e+02 3.570e+01 -4.453e+01
2.624e+02 3.408e+01 -8.687e+01
2.880e+02 3.253e+01 -1.334e+02
3.162e+02 3.099e+01 1.750e+02
3.472e+02 2.934e+01 1.181e+02
3.811e+02 2.750e+01 5.630e+01
4.184e+02 2.563e+01 -9.478e+00
4.594e+02 2.410e+01 -8.081e+01
5.043e+02 2.276e+01 -1.619e+02
5.537e+02 2.089e+01 1.078e+02
6.078e+02 1.880e+01 1.377e+01
6.673e+02 1.764e+01 -8.999e+01
7.326e+02 1.589e+01 1.504e+02
8.043e+02 1.383e+01 2.656e+01
8.830e+02 1.270e+01 -1.143e+02
9.694e+02 1.039e+01 9.230e+01
1.064e+03 9.119e+00 -7.521e+01
1.168e+03 6.844e+00 1.003e+02
1.283e+03 5.231e+00 -1.032e+02
1.408e+03 3.132e+00 3.555e+01
1.546e+03 1.021e+00 1.508e+02
1.697e+03 -1.087e+00 -1.150e+02
1.863e+03 -3.446e+00 -4.721e+01
2.046e+03 -6.389e+00 -5.058e+00
2.246e+03 -8.426e+00 -2.996e+00
2.465e+03 -1.255e+01 -3.147e+01
2.707e+03 -1.325e+01 -9.098e+01
2.971e+03 -1.858e+01 -1.583e+02
3.262e+03 -2.430e+01 3.579e+00
3.581e+03 -2.711e+01 -1.596e+02
3.932e+03 -3.573e+01 -2.300e+01
4.317e+03 -3.323e+01 1.157e+02
4.739e+03 -4.982e+01 -1.446e+02
5.203e+03 -3.176e+01 -6.572e+01
5.712e+03 -5.439e+01 1.934e+01
6.270e+03 -4.357e+01 -1.082e+02
6.884e+03 -4.233e+01 -7.935e+01
7.558e+03 -4.573e+01 1.056e+02
8.297e+03 -4.841e+01 -1.009e+01
9.109e+03 -4.516e+01 3.082e+01
1.000e+04 -6.534e+01 -6.700e+01
