# frequency  SPL  phase
1.000e+01 4.499e+01 -7.204e+01
1.098e+01 4.664e+01 -7.932e+01
1.205e+01 4.829e+01 -8.733e+01
1.323e+01 4.995e+01 -9.626e+01
1.453e+01 5.161e+01 -1.062e+02
1.595e+01 5.327e+01 -1.172e+02
1.751e+01 5.493e+01 -1.295e+02
1.922e+01 5.657e+01 -1.433e+02
2.110e+01 5.821e+01 -1.588e+02
2.317e+01 5.981e+01 -1.765e+02
2.543e+01 6.134e+01 1.634e+02
2.792e+01 6.272e+01 1.403e+02
3.065e+01 6.381e+01 1.139e+02
3.365e+01 6.440e+01 8.426e+01
3.695e+01 6.431e+01 5.271e+01
4.056e+01 6.352e+01 2.131e+01
4.453e+01 6.221e+01 -8.717e+00
4.889e+01 6.060e+01 -3.705e+01
5.367e+01 5.885e+01 -6.406e+01
5.892e+01 5.706e+01 -9.040e+01
6.469e+01 5.525e+01 -1.167e+02
7.102e+01 5.345e+01 -1.433e+02
7.796e+01 5.166e+01 -1.706e+02
8.559e+01 4.989e+01 1.609e+02
9.397e+01 4.814e+01 1.309e+02
1.032e+02 4.639e+01 9.909e+01
1.132e+02 4.466e+01 6.521e+01
1.243e+02 4.294e+01 2.887e+01
1.365e+02 4.123e+01 -1.017e+01
1.499e+02 3.952e+01 -5.234e+01
1.645e+02 3.783e+01 -9.796e+01
1.806e+02 3.615e+01 -1.475e+02
1.983e+02 3.448e+01 1.587e+02
2.177e+02 3.284e+01 1.002e+02
2.390e+02 3.124e+01 3.626e+01
2.624e+02 2.967e+01 -3.353e+01
2.880e+02 2.817e+01 -1.100e+02
3.162e+02 2.673e+01 1.660e+02
3.472e+02 2.532e+01 7.353e+01
3.811e+02 2.394e+01 -2.830e+01
4.184e+02 2.255e+01 -1.405e+02
4.594e+02 2.110e+01 9.568e+01
5.043e+02 1.948e+01 -4.036e+01
5.537e+02 1.770e+01 1.708e+02
6.078e+02 1.573e+01 8.057e+00
6.673e+02 1.360e+01 -1.687e+02
7.326e+02 1.151e+01 -1.042e+00
8.043e+02 9.595e+00 1.494e+02
8.830e+02 7.987e+00 -8.136e+01
9.694e+02 6.417e+00 2.368e+01
1.064e+03 4.605e+00 1.033e+02
1.168e+03 2.792e+00 1.574e+02
1.283e+03 1.397e+00 -1.789e+02
1.408e+03 -1.381e-01 1.673e+02
1.546e+03 -2.568e+00 1.172e+02
1.697e+03 -5.312e+00 3.479e+01
1.863e+03 -6.648e+00 -8.978e+01
2.046e+03 -8.486e+00 9.159e+01
2.246e+03 -1.070e+01 -1.417e+02
2.465e+03 -1.391e+01 -7.032e+01
2.707e+03 -1.683e+01 -4.512e+01
2.971e+03 -3.016e+01 -1.945e+01
3.262e+03 -2.543e+01 1.308e+02
3.581e+03 -3.557e+01 1.268e+02
3.932e+03 -2.819e+01 1.679e+02
4.317e+03 -3.110e+01 4.696e+00
4.739e+03 -3.523e+01 -9.940e+01
5.203e+03 -3.903e+01 -2.276e+01
5.712e+03 -3.741e+01 -5.405e+01
6.270e+03 -6.229e+01 -1.416e+02
6.884e+03 -4.650e+01 -7.887e+01
7.558e+03 -3.818e+01 1.563e+02
8.297e+03 -3.962e+01 1.767e+02
9.109e+03 -4.096e+01 1.121e+01
1.000e+04 -4.536e+01 -6.636e+01
