# frequency  SPL  phase
1.000e+01 -7.905e-01 1.609e+02
1.151e+01 1.652e+00 1.580e+02
1.326e+01 4.110e+00 1.547e+02
1.526e+01 6.550e+00 1.509e+02
1.758e+01 9.008e+00 1.464e+02
2.024e+01 1.146e+01 1.414e+02
2.330e+01 1.390e+01 1.355e+02
2.683e+01 1.635e+01 1.288e+02
3.089e+01 1.880e+01 1.211e+02
3.556e+01 2.124e+01 1.123e+02
4.095e+01 2.370e+01 1.021e+02
4.715e+01 2.616e+01 9.037e+01
5.429e+01 2.862e+01 7.693e+01
6.251e+01 3.110e+01 6.150e+01
7.197e+01 3.360e+01 4.377e+01
8.286e+01 3.613e+01 2.339e+01
9.541e+01 3.872e+01 -1.560e-01
1.098e+02 4.138e+01 -2.741e+01
1.265e+02 4.413e+01 -5.918e+01
1.456e+02 4.696e+01 -9.634e+01
1.677e+02 4.985e+01 -1.400e+02
1.931e+02 5.275e+01 1.688e+02
2.223e+02 5.556e+01 1.092e+02
2.559e+02 5.825e+01 4.066e+01
2.947e+02 6.088e+01 -3.738e+01
3.393e+02 6.364e+01 -1.263e+02
3.907e+02 6.666e+01 1.305e+02
4.498e+02 6.977e+01 9.373e+00
5.180e+02 7.272e+01 -1.318e+02
5.964e+02 7.544e+01 6.472e+01
6.866e+02 7.770e+01 -1.242e+02
7.906e+02 7.931e+01 2.050e+01
9.103e+02 8.061e+01 1.364e+02
1.048e+03 8.186e+01 -1.422e+02
1.207e+03 8.257e+01 -1.004e+02
1.390e+03 8.370e+01 -1.031e+02
1.600e+03 8.466e+01 -1.616e+02
1.842e+03 8.531e+01 7.910e+01
2.121e+03 8.594e+01 -1.136e+02
2.442e+03 8.621e+01 -2.776e+01
2.812e+03 8.600e+01 -3.444e+01
3.237e+03 8.587e+01 -1.489e+02
3.728e+03 8.533e+01 -2.759e+01
4.292e+03 8.577e+01 -4.958e+01
4.942e+03 8.485e+01 1.219e+02
5.690e+03 8.400e+01 1.034e+02
6.551e+03 8.336e+01 -1.344e+02
7.543e+03 8.176e+01 9.873e+01
8.685e+03 8.063e+01 3.765e+01
1.000e+04 7.915e+01 -1.242e+00
