# frequency  SPL  phase
1.000e+01 -4.736e-01 1.616e+02
1.151e+01 1.970e+00 1.588e+02
1.326e+01 4.429e+00 1.555e+02
1.526e+01 6.870e+00 1.519e+02
1.758e+01 9.329e+00 1.476e+02
2.024e+01 1.178e+01 1.427e+02
2.330e+01 1.423e+01 1.371e+02
2.683e+01 1.668e+01 1.306e+02
3.089e+01 1.913e+01 1.231e+02
3.556e+01 2.158e+01 1.146e+02
4.095e+01 2.405e+01 1.047e+02
4.715e+01 2.651e+01 9.342e+01
5.429e+01 2.899e+01 8.043e+01
6.251e+01 3.149e+01 6.550e+01
7.197e+01 3.402e+01 4.833e+01
8.286e+01 3.659e+01 2.854e+01
9.541e+01 3.922e+01 5.632e+00
1.098e+02 4.193e+01 -2.099e+01
1.265e+02 4.473e+01 -5.213e+01
1.456e+02 4.760e+01 -8.868e+01
1.677e+02 5.052e+01 -1.317e+02
1.931e+02 5.340e+01 1.779e+02
2.223e+02 5.617e+01 1.196e+02
2.559e+02 5.881e+01 5.286e+01
2.947e+02 6.146e+01 -2.257e+01
3.393e+02 6.439e+01 -1.086e+02
3.907e+02 6.771e+01 1.504e+02
4.498e+02 7.109e+01 3.052e+01
5.180e+02 7.413e+01 -1.099e+02
5.964e+02 7.664e+01 8.842e+01
6.866e+02 7.885e+01 -9.462e+01
7.906e+02 8.113e+01 5.344e+01
9.103e+02 8.237e+01 1.703e+02
1.048e+03 8.352e+01 -1.039e+02
1.207e+03 8.429e+01 -5.758e+01
1.390e+03 8.549e+01 -5.610e+01
1.600e+03 8.589e+01 -1.089e+02
1.842e+03 8.584e+01 1.371e+02
2.121e+03 8.554e+01 -3.975e+01
2.442e+03 8.590e+01 6.406e+01
2.812e+03 8.601e+01 7.098e+01
3.237e+03 8.579e+01 -2.739e+01
3.728e+03 8.511e+01 1.183e+02
4.292e+03 8.477e+01 1.239e+02
4.942e+03 8.515e+01 -3.532e+01
5.690e+03 8.532e+01 -2.448e+01
6.551e+03 8.499e+01 1.307e+02
7.543e+03 8.493e+01 4.030e+01
8.685e+03 8.395e+01 2.194e+01
1.000e+04 8.349e+01 3.571e+01
