# frequency  SPL  phase
1.000e+01 -2.315e+00 1.574e+02
1.151e+01 1.272e-01 1.540e+02
1.326e+01 2.585e+00 1.500e+02
1.526e+01 5.023e+00 1.455e+02
1.758e+01 7.480e+00 1.403e+02
2.024e+01 9.925e+00 1.342e+02
2.330e+01 1.237e+01 1.273e+02
2.683e+01 1.481e+01 1.194e+02
3.089e+01 1.725e+01 1.102e+02
3.556e+01 1.969e+01 9.964e+01
4.095e+01 2.213e+01 8.749e+01
4.715e+01 2.457e+01 7.351e+01
5.429e+01 2.700e+01 5.743e+01
6.251e+01 2.942e+01 3.894e+01
7.197e+01 3.185e+01 1.769e+01
8.286e+01 3.426e+01 -6.721e+00
9.541e+01 3.667e+01 -3.480e+01
1.098e+02 3.908e+01 -6.702e+01
1.265e+02 4.150e+01 -1.040e+02
1.456e+02 4.392e+01 -1.465e+02
1.677e+02 4.638e+01 1.646e+02
1.931e+02 4.889e+01 1.083e+02
2.223e+02 5.146e+01 4.321e+01
2.559e+02 5.410e+01 -3.214e+01
2.947e+02 5.681e+01 -1.198e+02
3.393e+02 5.947e+01 1.380e+02
3.907e+02 6.191e+01 1.957e+01
4.498e+02 6.403e+01 -1.166e+02
5.180e+02 6.578e+01 8.952e+01
5.964e+02 6.783e+01 -8.428e+01
6.866e+02 7.046e+01 7.353e+01
7.906e+02 7.275e+01 -1.649e+02
9.103e+02 7.400e+01 -7.861e+01
1.048e+03 7.491e+01 -2.771e+01
1.207e+03 7.547e+01 -2.189e+01
1.390e+03 7.666e+01 -6.290e+01
1.600e+03 7.727e+01 -1.761e+02
1.842e+03 7.697e+01 1.512e+01
2.121e+03 7.723e+01 1.201e+02
2.442e+03 7.637e+01 1.407e+02
2.812e+03 7.655e+01 4.935e+01
3.237e+03 7.633e+01 -1.525e+02
3.728e+03 7.538e+01 -1.391e+02
4.292e+03 7.454e+01 7.737e+01
4.942e+03 7.352e+01 1.093e+02
5.690e+03 7.268e+01 -7.468e+01
6.551e+03 7.132e+01 -1.407e+02
7.543e+03 6.910e+01 -1.408e+02
8.685e+03 6.589e+01 -1.008e+02
1.000e+04 6.179e+01 -8.071e+01
