# frequency  SPL  phase
1.000e+01 -2.968e+00 1.557e+02
1.151e+01 -5.261e-01 1.520e+02
1.326e+01 1.931e+00 1.478e+02
1.526e+01 4.370e+00 1.429e+02
1.758e+01 6.827e+00 1.373e+02
2.024e+01 9.272e+00 1.308e+02
2.330e+01 1.171e+01 1.234e+02
2.683e+01 1.416e+01 1.148e+02
3.089e+01 1.660e+01 1.049e+02
3.556e+01 1.904e+01 9.362e+01
4.095e+01 2.149e+01 8.056e+01
4.715e+01 2.393e+01 6.555e+01
5.429e+01 2.637e+01 4.828e+01
6.251e+01 2.881e+01 2.842e+01
7.197e+01 3.126e+01 5.570e+00
8.286e+01 3.371e+01 -2.072e+01
9.541e+01 3.617e+01 -5.104e+01
1.098e+02 3.864e+01 -8.598e+01
1.265e+02 4.111e+01 -1.264e+02
1.456e+02 4.359e+01 -1.730e+02
1.677e+02 4.604e+01 1.332e+02
1.931e+02 4.844e+01 7.123e+01
2.223e+02 5.078e+01 1.789e-01
2.559e+02 5.310e+01 -8.090e+01
2.947e+02 5.555e+01 -1.737e+02
3.393e+02 5.822e+01 7.845e+01
3.907e+02 6.077e+01 -4.826e+01
4.498e+02 6.279e+01 1.668e+02
5.180e+02 6.513e+01 4.199e+00
5.964e+02 6.784e+01 1.707e+02
6.866e+02 6.926e+01 -4.919e+01
7.906e+02 7.201e+01 5.824e+01
9.103e+02 7.297e+01 1.268e+02
1.048e+03 7.480e+01 1.491e+02
1.207e+03 7.592e+01 1.276e+02
1.390e+03 7.636e+01 4.778e+01
1.600e+03 7.651e+01 -9.693e+01
1.842e+03 7.629e+01 4.629e+01
2.121e+03 7.630e+01 1.067e+02
2.442e+03 7.553e+01 6.604e+01
2.812e+03 7.511e+01 -8.290e+01
3.237e+03 7.453e+01 -4.580e+00
3.728e+03 7.363e+01 -7.343e+01
4.292e+03 7.316e+01 3.837e+01
4.942e+03 7.268e+01 -4.131e+01
5.690e+03 6.982e+01 -1.682e+00
6.551e+03 6.741e+01 1.490e+02
7.543e+03 6.285e+01 -2.015e+01
8.685e+03 5.811e+01 -1.586e+02
1.000e+04 5.181e+01 2.911e+01
