# frequency  SPL  phase
1.000e+01 4.447e+01 1.260e+02
1.151e+01 4.531e+01 1.225e+02
1.326e+01 4.549e+01 1.237e+02
1.526e+01 4.541e+01 1.393e+02
1.758e+01 4.902e+01 1.715e+02
2.024e+01 5.648e+01 -1.779e+02
2.330e+01 6.380e+01 1.707e+02
2.683e+01 7.023e+01 1.440e+02
3.089e+01 7.476e+01 1.041e+02
3.556e+01 7.658e+01 6.277e+01
4.095e+01 7.699e+01 2.896e+01
4.715e+01 7.714e+01 7.219e-01
5.429e+01 7.731e+01 -2.536e+01
6.251e+01 7.754e+01 -5.124e+01
7.197e+01 7.779e+01 -7.801e+01
8.286e+01 7.805e+01 -1.064e+02
9.541e+01 7.832e+01 -1.371e+02
1.098e+02 7.861e+01 -1.707e+02
1.265e+02 7.894e+01 1.520e+02
1.456e+02 7.932e+01 1.102e+02
1.677e+02 7.977e+01 6.265e+01
1.931e+02 8.025e+01 8.221e+00
2.223e+02 8.073e+01 -5.432e+01
2.559e+02 8.114e+01 -1.261e+02
2.947e+02 8.148e+01 1.518e+02
3.393e+02 8.176e+01 5.777e+01
3.907e+02 8.194e+01 -5.036e+01
4.498e+02 8.187e+01 -1.741e+02
5.180e+02 8.159e+01 4.610e+01
5.964e+02 8.170e+01 -1.121e+02
6.866e+02 8.221e+01 6.154e+01
7.906e+02 8.191e+01 -1.555e+02
9.103e+02 8.107e+01 -4.098e+01
1.048e+03 8.035e+01 3.969e+01
1.207e+03 7.962e+01 7.763e+01
1.390e+03 7.858e+01 6.782e+01
1.600e+03 7.759e+01 2.052e+00
1.842e+03 7.627e+01 -1.286e+02
2.121e+03 7.424e+01 2.122e+01
2.442e+03 7.016e+01 8.583e+01
2.812e+03 6.279e+01 5.060e+01
3.237e+03 4.862e+01 1.362e+02
3.728e+03 6.213e+01 -1.735e+02
4.292e+03 6.369e+01 1.133e+02
4.942e+03 5.950e+01 -1.269e+02
5.690e+03 3.547e+01 1.187e+02
6.551e+03 5.366e+01 3.896e+01
7.543e+03 5.124e+01 1.777e+02
8.685e+03 4.347e+01 -1.430e+02
1.000e+04 4.569e+01 5.905e+01
