# frequency  SPL  phase
1.000e+01 4.923e+01 -5.092e+01
1.151e+01 5.246e+01 -6.040e+01
1.326e+01 5.587e+01 -7.176e+01
1.526e+01 5.944e+01 -8.520e+01
1.758e+01 6.325e+01 -1.015e+02
2.024e+01 6.732e+01 -1.215e+02
2.330e+01 7.163e+01 -1.472e+02
2.683e+01 7.587e+01 1.776e+02
3.089e+01 7.880e+01 1.319e+02
3.556e+01 7.943e+01 8.577e+01
4.095e+01 7.894e+01 4.786e+01
4.715e+01 7.840e+01 1.592e+01
5.429e+01 7.803e+01 -1.360e+01
6.251e+01 7.783e+01 -4.275e+01
7.197e+01 7.771e+01 -7.268e+01
8.286e+01 7.764e+01 -1.042e+02
9.541e+01 7.757e+01 -1.380e+02
1.098e+02 7.749e+01 -1.745e+02
1.265e+02 7.738e+01 1.454e+02
1.456e+02 7.724e+01 1.012e+02
1.677e+02 7.708e+01 5.191e+01
1.931e+02 7.691e+01 -3.543e+00
2.223e+02 7.670e+01 -6.650e+01
2.559e+02 7.639e+01 -1.386e+02
2.947e+02 7.585e+01 1.383e+02
3.393e+02 7.479e+01 4.269e+01
3.907e+02 7.278e+01 -6.607e+01
4.498e+02 6.917e+01 1.729e+02
5.180e+02 6.219e+01 4.877e+01
5.964e+02 5.968e+01 -8.055e-01
6.866e+02 6.969e+01 -1.610e+02
7.906e+02 7.440e+01 -1.326e+01
9.103e+02 7.689e+01 9.805e+01
1.048e+03 7.702e+01 1.721e+02
1.207e+03 7.601e+01 -1.493e+02
1.390e+03 7.302e+01 -1.620e+02
1.600e+03 6.266e+01 1.346e+02
1.842e+03 6.645e+01 1.416e+02
2.121e+03 7.003e+01 -7.278e+01
2.442e+03 6.315e+01 -1.100e+01
2.812e+03 3.726e+01 5.294e+01
3.237e+03 5.678e+01 1.254e+02
3.728e+03 5.533e+01 -1.594e+02
4.292e+03 6.126e+01 -8.083e+01
4.942e+03 3.957e+01 3.909e+01
5.690e+03 4.751e+01 -1.091e+02
6.551e+03 5.425e+01 8.282e+01
7.543e+03 4.276e+01 2.613e+00
8.685e+03 4.662e+01 1.488e+02
1.000e+04 3.767e+01 1.212e+02
