# frequency  SPL  phase
1.000e+01 4.510e+01 1.258e+02
1.151e+01 4.631e+01 1.216e+02
1.326e+01 4.710e+01 1.204e+02
1.526e+01 4.767e+01 1.271e+02
1.758e+01 4.981e+01 1.467e+02
2.024e+01 5.551e+01 1.612e+02
2.330e+01 6.245e+01 1.551e+02
2.683e+01 6.887e+01 1.309e+02
3.089e+01 7.345e+01 9.202e+01
3.556e+01 7.531e+01 5.080e+01
4.095e+01 7.576e+01 1.659e+01
4.715e+01 7.592e+01 -1.248e+01
5.429e+01 7.610e+01 -3.978e+01
6.251e+01 7.632e+01 -6.726e+01
7.197e+01 7.654e+01 -9.605e+01
8.286e+01 7.675e+01 -1.270e+02
9.541e+01 7.693e+01 -1.608e+02
1.098e+02 7.705e+01 1.619e+02
1.265e+02 7.711e+01 1.203e+02
1.456e+02 7.707e+01 7.349e+01
1.677e+02 7.688e+01 2.082e+01
1.931e+02 7.651e+01 -3.838e+01
2.223e+02 7.598e+01 -1.047e+02
2.559e+02 7.539e+01 -1.796e+02
2.947e+02 7.472e+01 9.392e+01
3.393e+02 7.347e+01 -6.962e+00
3.907e+02 7.099e+01 -1.200e+02
4.498e+02 6.764e+01 1.164e+02
5.180e+02 6.064e+01 -1.924e+01
5.964e+02 6.038e+01 -7.680e+01
6.866e+02 6.915e+01 1.009e+02
7.906e+02 7.263e+01 -1.232e+02
9.103e+02 7.475e+01 -2.948e+01
1.048e+03 7.524e+01 2.963e+01
1.207e+03 7.351e+01 4.346e+01
1.390e+03 6.897e+01 4.775e+00
1.600e+03 5.336e+01 -8.387e+01
1.842e+03 6.333e+01 -9.443e+01
2.121e+03 6.436e+01 1.497e+01
2.442e+03 5.555e+01 2.994e+01
2.812e+03 4.007e+01 1.670e+02
3.237e+03 5.017e+01 6.633e+01
3.728e+03 4.172e+01 7.534e+01
4.292e+03 5.241e+01 1.141e+02
4.942e+03 3.567e+01 -4.009e+01
5.690e+03 3.611e+01 -7.356e+01
6.551e+03 4.168e+01 2.415e+01
7.543e+03 2.982e+01 -1.446e+02
8.685e+03 3.046e+01 -1.477e+02
1.000e+04 1.659e+01 5.849e+01
